animal name,hair,feathers,eggs,milk,airborne,aquatic,predator,toothed,backbone,breathes,venomous,fins,legs,tail,domestic,catsize,type,like
polecat,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,1,6
pony,1,0,0,1,0,0,0,1,1,1,0,0,4,1,1,1,1,8
porpoise,0,0,0,1,0,1,1,1,1,1,0,1,0,1,0,1,1,7
puma,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,1,7
pussycat,1,0,0,1,0,0,1,1,1,1,0,0,4,1,1,1,1,10
raccoon,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,1,8
reindeer,1,0,0,1,0,0,0,1,1,1,0,0,4,1,1,1,1,8
rhea,0,1,1,0,0,0,1,0,1,1,0,0,2,1,0,1,2,2
scorpion,0,0,0,0,0,0,1,0,0,1,1,0,8,1,0,0,7,3
seahorse,0,0,1,0,0,1,0,1,1,0,0,1,0,1,0,0,4,8
seal,1,0,0,1,0,1,1,1,1,1,0,1,0,0,0,1,1,2
sealion,1,0,0,1,0,1,1,1,1,1,0,1,2,1,0,1,1,2
seasnake,0,0,0,0,0,1,1,1,1,0,1,0,0,1,0,0,3,2
seawasp,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,7,2
skimmer,0,1,1,0,1,1,1,0,1,1,0,0,2,1,0,0,2,2
skua,0,1,1,0,1,1,1,0,1,1,0,0,2,1,0,0,2,1
slowworm,0,0,1,0,0,0,1,1,1,1,0,0,0,1,0,0,3,1
slug,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,7,1
sole,0,0,1,0,0,1,0,1,1,0,0,1,0,1,0,0,4,1
sparrow,0,1,1,0,1,0,0,0,1,1,0,0,2,1,0,0,2,7
squirrel,1,0,0,1,0,0,0,1,1,1,0,0,2,1,0,0,1,8
starfish,0,0,1,0,0,1,1,0,0,0,0,0,5,0,0,0,7,6
stingray,0,0,1,0,0,1,1,1,1,0,1,1,0,1,0,1,4,7
swan,0,1,1,0,1,1,0,0,1,1,0,0,2,1,0,1,2,8
termite,0,0,1,0,0,0,0,0,0,1,0,0,6,0,0,0,6,1
toad,0,0,1,0,0,1,0,1,1,1,0,0,4,0,0,0,5,6
tortoise,0,0,1,0,0,0,0,0,1,1,0,0,4,1,0,1,3,9
tuatara,0,0,1,0,0,0,1,1,1,1,0,0,4,1,0,0,3,1
tuna,0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,1,4,2
vampire,1,0,0,1,1,0,0,1,1,1,0,0,2,1,0,0,1,1
vole,1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,0,1,6
vulture,0,1,1,0,1,0,1,0,1,1,0,0,2,1,0,1,2,4
wallaby,1,0,0,1,0,0,0,1,1,1,0,0,2,1,0,1,1,1
wasp,1,0,1,0,1,0,0,0,0,1,1,0,6,0,0,0,6,1
wolf,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,1,6
worm,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,7,3
wren,0,1,1,0,1,0,0,0,1,1,0,0,2,1,0,0,2,1
